nombre_material, etiquetas
Textiles, Textiles|Ropa|Telas|Retazos|Cuero|Lana|Algodón|Mezclilla
Madera, Madera|Muebles|Tablas|Pallets|Troncos|Ramas|Aserrín|Carpintería
Chatarra, Chatarra|Metales|Aluminio|Cobre|Acero|Hierro|Cables|Electrodomésticos
Plástico, Plástico|PET|HDPE|PVC|LDPE|PP|PS|Envases|Botellas
Reparables, Electrodomésticos|Computadores|Teléfonos|Bicicletas|Muebles|Herramientas|Electrónicos|Máquinas
Otros Materiales, Vidrio|Cartón|Papel|Equipos electrónicos|Instrumentos musicales|Materiales varios|Reciclables|Reutilizables
